CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,colegio coban,km2 salida a san juan chamelco zona 8,77945104,Mercedes Josefina Torres Galvez,Gustavo Adolfo Sierra Pop,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto verapaz,km 2095 entrada a la ciudad,77367402,Mercedes Josefina Torres Galvez,Gilma Dolores Guay Paz De Leal,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,colegio la inmaculada,7a avenida 11-109 zona 6,78232301,Mercedes Josefina Torres Galvez,Virginia Solano Serrano,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,escuela nacional de ciencias comerciales no 3,2a calle 11-10 zona 2,79514215,Rudy Adolfo Tot Och,Hector Rolando Chun Poou,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,instituto normal mixto del norte emilio rosales ponce,3a ave 6-23 zona 11,79521468,Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,5a calle 1-98 zona 3,57101061,Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0145-46,16-006,ALTA VERAPAZ,COBAN,instituto de turismo y aviacion del norte itan,3 av 5-28 zona 4,54641454,Efrain Caal Cuc,Luis Fernando Soto,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0147-46,16-031,ALTA VERAPAZ,COBAN,colegio la inmaculada,7a calle 11-09 zona 6 coban,49532425,Mercedes Josefina Torres Galvez,Rosa Maria Zamora Gonzalez,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0150-46,16-006,ALTA VERAPAZ,COBAN,instituto intercultrual altaverapacencese iiav ,3a avaenida 1-23 zona 4,,Efrain Caal Cuc,Guillermo Estuardo Vasquez Morales,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,liceo moderno latino,11 avenida 5-17 zona 4,79522555,Mercedes Josefina Torres Galvez,Hector Armando Teyul Chen,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificado,diagonal 08 8-05 zona 8 barrio canton las casas,79945251,Rudy Adolfo Tot Och,Helson Marco Chen Gutierrez,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,12 av 2-12 zona 1,79545566,Mercedes Josefina Torres Galvez,Maria Magdalena Bol Cu,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0478-46,16-031,ALTA VERAPAZ,COBAN,colelgio evangelico la patria,finca chimaxito zona 11,79514440,Mercedes Josefina Torres Galvez,Aura Eunice Soto Fonseca,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,5ta calle 2-23 zona 4,79514754,Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,5ta calle 2-23 zona 4,79514754,Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0557-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,3a avenida 5-28 zona 4,79523696,Mercedes Josefina Torres Galvez,Erick Fernando Choc Garcia,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,instituto normal preprimaria bilingue adscrito al instituto normal mixto del norte emilio rosales ponce,3a ave 6-23 zona 11,79521468,Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,instituto normal primaria bilingue intercultural ads al instituto emilio rosales ponce,3a ave 6-23 zona 11,79521468,Rudy Adolfo Tot Och,Victor Hugo Dominguez Reyes,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,centro de formacion integral las conchas fmg,aldea las conchas,79522793,Mercedes Josefina Torres Galvez,David Waldemar Urrutia Choc,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,diagonal 1 1-26 zona 1,51922050,Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0568-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,5ta calle 1-06 zona 3,79510413,Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0570-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,7a calle 1-13 zona 3,79511103,Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0572-46,16-031,ALTA VERAPAZ,COBAN,liceo miguel angel asturias,7a calle 1-13 zona 3,79511103,Mercedes Josefina Torres Galvez,Jayron Ariel Coy Cacao,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0573-46,16-031,ALTA VERAPAZ,COBAN,colegio cristiano bilingue verbo,4a calle a 4-32 zona 8,77945181,Mercedes Josefina Torres Galvez,Lesly Eugenia Chocooj Vidaurre,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0574-46,16-005,ALTA VERAPAZ,COBAN,escuela nacional de ciencias comerciales no 3,2a calle 11-10 zona 2,53530198,Rudy Adolfo Tot Och,Ervin Orlando Juarez Sam,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0583-46,16-031,ALTA VERAPAZ,COBAN,colegio nuevos senderos,3a calle 3-73 zona 3,79417300,Mercedes Josefina Torres Galvez,Zoyla Argentina Mollinedo Alvarado,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0604-46,16-031,ALTA VERAPAZ,COBAN,instituto privado raul chenal heinemann,5ta calle 1-06 zona 3,79510413,Mercedes Josefina Torres Galvez,Silvia Beatriz Soto Chen,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0609-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto de educacion bilingue intercultural imebi,lotificacion chivencorral,30367501,Mercedes Josefina Torres Galvez,Juan Pascual Lucas Antonio,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0611-46,16-031,ALTA VERAPAZ,COBAN,colegio hispanoamericano,1a calle 17-41 comunidad petet chixic zona 12,74725125,Mercedes Josefina Torres Galvez,Octavio Ismael Batz Choc,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0612-46,16-031,ALTA VERAPAZ,COBAN,instituto de magisterio de educacion preprimaria infantil bilingue intercultural luz del saber,calzada rabin ajau zona 11,57565646,Mercedes Josefina Torres Galvez,Thelma Martina Pop Tzir,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0613-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto anton de montesinos,1a calle 7-22 zona 3,77259205,Mercedes Josefina Torres Galvez,Margarita Villalobos Ligorria,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0616-46,16-037,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificado,aldea salacuim,57300783,Ernesto Caal Choc,Bryan Faruc Prado Tut,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0619-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto anton de montesinos,1a calle 7-22 zona 3,77259205,Mercedes Josefina Torres Galvez,Margarita Villalobos Ligorria,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,instituto nacional de educacion diversificado,aldea choval,53331646,Rudy Adolfo Tot Och,Gilda Aracely Wellmann Duarte,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0646-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,diagonal 1 1-26 zona 1,44042550,Mercedes Josefina Torres Galvez,Erwin Rolando Xol Chun,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0651-46,16-031,ALTA VERAPAZ,COBAN,centro de formacion integral ciudad de la esperanza,6a av 10-68 zona 12 colonia el esfuerzo i,77367652,Mercedes Josefina Torres Galvez,Byron Anibal Gomez Gatica,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0652-46,16-037,ALTA VERAPAZ,COBAN,instituto maya comunitario k amolb e,aldea nimlajacoc,30621374,Ernesto Caal Choc,Jose Lino Quib Che,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0664-46,16-031,ALTA VERAPAZ,COBAN,liceo americano del norte,5ta avenida 2-23 zona 4,79514754,Mercedes Josefina Torres Galvez,Jose Cupertino Reyes Garcia,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0665-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,12 avenida 2-12 zona 1,79545566,Mercedes Josefina Torres Galvez,Maria Magdalena Bol Cu,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0666-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,12 avenida 2-12 zona 1,79521765,Mercedes Josefina Torres Galvez,Hector Vidal Bol Cu,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0668-46,16-031,ALTA VERAPAZ,COBAN,colegio particular mixto imperial,5a calle 1-98 zona 3,57101061,Mercedes Josefina Torres Galvez,Hector Waldemar Tot Coy,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0671-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,2a calle 12-23 zona 4,79521190,Mercedes Josefina Torres Galvez,Jorge Salvador Juarez Sierra,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0672-46,16-031,ALTA VERAPAZ,COBAN,ica,11avenida 1-10 zona 1,33509500,Mercedes Josefina Torres Galvez,Laidy Andrea Chocooj Tiul,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0678-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,3a avenida cinco guion doce 5-12,48979726,Mercedes Josefina Torres Galvez,Silvia Yolanda Caal Quim,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0681-46,16-031,ALTA VERAPAZ,COBAN,instituto privado mixto santo domingo,2a calle 11-10 zona 2,79529830,Mercedes Josefina Torres Galvez,America Nuila Luther,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0690-46,16-031,ALTA VERAPAZ,COBAN,isea la escuela en su casa,1a av 4-24 zona 2,77930803,Mercedes Josefina Torres Galvez,Ludwin Joel Noriega Morales,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0694-46,16-031,ALTA VERAPAZ,COBAN,colegio la libertad,3a av 5-12 zona 4,55564568,Mercedes Josefina Torres Galvez,Silvia Yolanda Caal Quim,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0703-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,diagonal 1 1-26 zona 1,51922050,Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0705-46,16-050,ALTA VERAPAZ,COBAN,programa naciona de educacion alternativa pronea ,7a av 2-18 d zona 1,45587767,Maximiliano Chub Ical, ,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0710-46,16-031,ALTA VERAPAZ,COBAN,oxford bilingual school,2da calle 16-94 zona 4,79513898,Mercedes Josefina Torres Galvez,Darwin Roberto Iglesias De La Cruz,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,enbi centro de educacion extraescolar ceex ,10 avenida 1-25 zona 3,79521302,Maximiliano Chub Ical,Anabela Cecilia Bol Caal,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0909-46,16-031,ALTA VERAPAZ,COBAN,isea la escuela en su casa,2a calle a 11-10 zona 1,77256954,Mercedes Josefina Torres Galvez,Ludwin Joel Noriega Morales,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0910-46,16-031,ALTA VERAPAZ,COBAN,colegio de informatica ceninfav,12 avenida 2-12 zona 1,79521765,Mercedes Josefina Torres Galvez,Hector Vidal Bol Cu,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0912-46,16-031,ALTA VERAPAZ,COBAN,colegio privado mixto tecnologico en informatica,2a calle 12-23 zona 4,79511459,Mercedes Josefina Torres Galvez,Daniel Bernardo Ramirez Gonzalez,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-01-0913-46,16-031,ALTA VERAPAZ,COBAN,instituto mixto privado salud y desarrollo,diagonal 1 1-26 zona 1,59584790,Mercedes Josefina Torres Galvez,Samantha Gabriela De La Cruz Morales,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
