Group,Address
1,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8
2,KM 209.5 ENTRADA A LA CIUDAD
3,7A. AVENIDA 11-109 ZONA 6
4,2A CALLE 11-10 ZONA 2
4,2A. CALLE 11-10 ZONA 2
4,"2A. CALLE 11-10, ZONA 2"
4,2A. CALLE 1-40 ZONA 2
5,3A AVE 6-23 ZONA 11
5,3A. AVE. 6-23 ZONA 11
6,5A. CALLE 1-9 ZONA 3
6,5A. CALLE 1-06 ZONA 3
6,"5A. CALLE 1-06, ZONA 3"
6,"5A CALLE 1-98, ZONA 3"
6,5TA. CALLE 1-06 ZONA 3
6,5A. CALLE 1-98 ZONA 3
6,"5A. CALLE 1-98, ZONA 3."
6,6A. CALLE 11-49 ZONA 3
6,5A. CALLE 1-93 ZONA 2
6,5TA. CALLE 1-93 ZONA 2
6,"5A. CALLE 1-93, ZONA 2"
6,5A. CALLE 17-32 ZONA 3
6,5A. CALLE 12-60 ZONA 3
6,5A. CALLE 17-52 ZONA 3
7,3 AV. 5-28 ZONA 4
8,7A. CALLE 11-09 ZONA 6 COBAN
9,3A. AVAENIDA 1-23 ZONA 4
10,11 AVENIDA 5-17 ZONA 4
11,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS"
12,12 AV. 2-12 ZONA 1
12,12AV. 2-12 ZONA 1
13,FINCA CHIMAXITO ZONA 11
14,5TA. CALLE 2-23 ZONA 4
14,2A. CALLE 12-23 ZONA 4
14,5TA. CALLE 9-38 ZONA 4
15,3RA. AVENIDA 5-12 ZONA 4
15,"3A. AVENIDA 5-12, ZONA 4"
15,3A. AVENIDA 5-28 ZONA 4
16,ALDEA LAS CONCHAS
17,DIAGNONAL 1 1-26 ZONA 1
17,"DIAGONAL 1 1-26, ZONA 1"
18,7A. CALLE 1-13 ZONA 3
18,7A. CALLE 6-18 ZONA 3
18,7A. CALLE 1-181 ZONA 3
19,4A. CALLE A 4-32 ZONA 8
20,"3A. CALLE 3-74, ZONA 3"
20,"3A. CALLE 7-54, ZONA 3"
20,"3A. CALLE 3-73, ZONA 3"
20,3A. CALLE 3-73 ZONA 3
21,LOTIFICACION CHIVENCORRAL
22,"1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12"
23,"CALZADA RABIN AJAU, ZONA 1"
23,CALZADA RABIN AJAU ZONA 11
24,1A. CALLE 7-22 ZONA 3
24,1A. CALLE 7-206 ZONA 3
24,1RA. CALLE 0-22 ZONA 3
24,3A. CALLE 1-22 ZONA 3
25,ALDEA SALACUIM
26,ALDEA CHOVAL
27,6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I
28,ALDEA NIMLAJACOC
29,5TA. AVENIDA 2-23 ZONA 4
30,12 AVENIDA 2-12 ZONA 1
30,"12 AVENIDA 2-12, ZONA 1"
30,16 AVENIDA 2-17 ZONA 1
31,11AVENIDA 1-10 ZONA 1
32,3A. AVENIDA CINCO GUION DOCE (5-12)
33,1A. AV. 4-24 ZONA 2
34,3A. AV. 5-12 ZONA 4
35,7A. AV. 2-18 D ZONA 1
36,2DA. CALLE 16-94 ZONA 4
36,2A. CALLE 1-99 ZONA 4
36,2A. CALLE 6-41 ZONA 4
37,10 AVENIDA 1-25 ZONA 3
37,19 AVENIDA 1-28 ZONA 3
38,"2A. CALLE ""A"" 11-10, ZONA 1"
39,"2A. CALLE 12-23, ZONA 4"
39,2A. CALLE 1-52 ZONA 4
