Group,Address
1,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8
2,KM 209.5 ENTRADA A LA CIUDAD
3,7A. AVENIDA 11-109 ZONA 6
4,2A CALLE 11-10 ZONA 2
4,2A. CALLE 11-10 ZONA 2
4,"2A. CALLE 11-10, ZONA 2"
5,3A AVE 6-23 ZONA 11
5,3A. AVE. 6-23 ZONA 11
6,5A. CALLE 1-9 ZONA 3
6,5A. CALLE 1-98 ZONA 3
7,3 AV. 5-28 ZONA 4
8,7A. CALLE 11-09 ZONA 6 COBAN
9,3A. AVAENIDA 1-23 ZONA 4
10,11 AVENIDA 5-17 ZONA 4
11,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS"
12,12 AV. 2-12 ZONA 1
12,12AV. 2-12 ZONA 1
13,FINCA CHIMAXITO ZONA 11
14,5TA. CALLE 2-23 ZONA 4
15,3RA. AVENIDA 5-12 ZONA 4
15,"3A. AVENIDA 5-12, ZONA 4"
16,ALDEA LAS CONCHAS
17,DIAGNONAL 1 1-26 ZONA 1
17,"DIAGONAL 1 1-26, ZONA 1"
18,5A. CALLE 1-06 ZONA 3
18,"5A. CALLE 1-06, ZONA 3"
18,5TA. CALLE 1-06 ZONA 3
19,7A. CALLE 1-13 ZONA 3
20,4A. CALLE A 4-32 ZONA 8
21,"3A. CALLE 3-74, ZONA 3"
21,"3A. CALLE 3-73, ZONA 3"
22,LOTIFICACION CHIVENCORRAL
23,"1A CALLE 17-41 COMUNIDAD PETET CHIXIC, ZONA 12"
24,"CALZADA RABIN AJAU, ZONA 1"
24,CALZADA RABIN AJAU ZONA 11
25,1A. CALLE 7-22 ZONA 3
26,ALDEA SALACUIM
27,ALDEA CHOVAL
28,6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I
29,ALDEA NIMLAJACOC
30,5TA. AVENIDA 2-23 ZONA 4
31,12 AVENIDA 2-12 ZONA 1
31,"12 AVENIDA 2-12, ZONA 1"
32,"5A CALLE 1-98, ZONA 3"
32,"5A. CALLE 1-98, ZONA 3."
33,2A. CALLE 12-23 ZONA 4
33,"2A. CALLE 12-23, ZONA 4"
34,11AVENIDA 1-10 ZONA 1
35,3A. AVENIDA CINCO GUION DOCE (5-12)
36,1A. AV. 4-24 ZONA 2
37,3A. AV. 5-12 ZONA 4
38,7A. AV. 2-18 D ZONA 1
39,2DA. CALLE 16-94 ZONA 4
40,10 AVENIDA 1-25 ZONA 3
41,"2A. CALLE ""A"" 11-10, ZONA 1"
42,"DIAGONAL 3 14-11, ZONA 2"
42,"DIAGONAL 3, 14-11 ZONA 2"
43,"3A. AVENIDA 8-32, ZONA 10"
44,"9A. AVENIDA 4-55, ZONA 4"
45,2A. CALLE 1-99 ZONA 4 COBAN
46,2A. CALLE 1-99 ZONA 4
47,8A. AVENIDA 02-43 ZONA 1
48,"2A. CALLE 8-18 ZONA 4, COBAN"
49,BARRIO CHIVENCORRAL ZONA 12
50,6A. CALLE 2-06 ZONA 8 PERIFERICO SUR COBAN
51,3A. AVENIDA 5-28 ZONA 4
52,2A. CALLE 6-41 ZONA 4
53,COBAN
54,COLONIA EL ESFUERZO I ZONA 12
55,BARRIO LA LIBERTAD ZONA 10
56,"6A. AVENIDA 1-15, ZONA 4"
57,3AVENIDA 6-23 ZONA 11
58,3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10
59,3AV. 1-23 ZONA 4
60,nan
